Make,Model,Meter,ServiceOrderID,Wo Number,Wo Segment,Description,Contract Type,M_Actual_ServiceOrderLaborHrsTotal,Wo Status
JD,470P,325,S100019464970109001,1946497,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.75,I
JD,470P,430,S100062016050172001,6201605,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,448,S100042074440152002,4207444,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,495,S100059033610169001,5903361,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,592,S100043216780153002,4321678,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,688,S100016498620106002,1649862,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,720,S100043231630153002,4323163,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,872,S100052116990162002,5211699,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,880,S100016527530106002,1652753,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,897,S100015648400105001,1564840,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,2.25,I
JD,470P,904,S100012931680102001,1293168,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,906,S100016527540106002,1652754,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.75,I
JD,470P,955,S100019462810109001,1946281,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.75,I
JD,470P,988,S100016527550106002,1652755,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,989,S100043216770153002,4321677,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,1062,S100016527520106002,1652752,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.75,I
JD,470P,1093,S100014312080104002,1431208,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,1158,S100057048540167003,5704854,3,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.25,I
JD,470P,1169,S100064016690174001,6401669,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.50,I
JD,470P,1235,S100016527510106002,1652751,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,1427,S100018533140108002,1853314,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,1512,S100018533110108003,1853311,3,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,1518,S100035261690142002,3526169,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,2.50,I
JD,470P,1835,S100018533130108002,1853313,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,1868,S100024896470114001,2489647,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,1899,S100024912520114001,2491252,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,2.25,I
JD,470P,2052,S100019500560109001,1950056,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,2080,S100013726880103002,1372688,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,2248,S100017933970107001,1793397,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,2889,S100018534550108006,1853455,6,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,3140,S100018518260108001,1851826,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,3.00,I
JD,470P,5950,S100021521860111002,2152186,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,476,S100062012810172001,6201281,1,24-20 AUX HIGH FLOW LINES CHAFFED BY GREASE INJECTOR BANK,C&F,2.00,I
JD,470P,82,S100062012820172001,6201282,1,24-21 AUX HIGH FLOW LINES CHAFFED BY GREASE INJECTOR BANK,C&F,2.00,I
JD,470P,2443,S101575007020157002,157500702,2,2500 (500 HR) SERVICE,Compact Construction Equipment,0.50,""
JD,470P,2417,S100033771250148001,3377125,1,2500HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,5.50,I
JD,470P,1969,S100048141450158002,4814145,2,3 OIL SAMPLES INCL IN MACHINE CARE - CUSTOMER CHARGE 3 ADDL,C&F,2.50,I
JD,470P,2969,S100033771490148001,3377149,1,3000HR SERVICE (SN F_00001-) NO FILTERS,C&F,8.25,I
JD,470P,1035,S100043224210153002,4322421,2,3226.12 NOX SENSOR,C&F,4.50,I
JD,470P,0,S100033777360148001,3377736,1,4000 HOUR SERVICE,C&F,8.50,""
JD,470P,4184,S100033772260148001,3377226,1,4000HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,10.00,I
JD,470P,0,S100062010790172001,6201079,1,470 BUCKET SIDE SHROUDS,C&F,0.75,I
JD,470P,0,S100033777470148001,3377747,1,500 HOUR SERVICE,C&F,5.50,""
JD,470P,0,S100033952450148001,3395245,1,500 HOUR SERVICE,C&F,4.25,""
JD,470P,375,S100019480450109002,1948045,2,500 HOUR SERVICE,C&F,6.75,I
JD,470P,389,S100016542680106001,1654268,1,500 HOUR SERVICE,C&F,8.25,I
JD,470P,425,S100016538530106001,1653853,1,500 HOUR SERVICE,C&F,5.75,I
JD,470P,445,S100033775260148001,3377526,1,500 HOUR SERVICE,C&F,4.25,I
JD,470P,465,S100033904270148001,3390427,1,500 HOUR SERVICE,C&F,4.25,I
JD,470P,474,S100011054100101005,1105410,5,500 HOUR SERVICE,C&F,4.75,I
JD,470P,474,S100046047960156002,4604796,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,480,S100019480440109002,1948044,2,500 HOUR SERVICE,C&F,4.75,I
JD,470P,480,S100033773300148001,3377330,1,500 HOUR SERVICE,C&F,1.50,I
JD,470P,482,S100033951500148001,3395150,1,500 HOUR SERVICE,C&F,5.50,I
JD,470P,483,S100049094690159002,4909469,2,500 HOUR SERVICE,C&F,6.75,I
JD,470P,491,S100045122130155002,4512213,2,500 HOUR SERVICE,C&F,2.50,I
JD,470P,493,S100030569600122001,3056960,1,500 HOUR SERVICE,C&F,3.50,I
JD,470P,501,S100068020900178002,6802090,2,500 HOUR SERVICE,C&F,2.50,I
JD,470P,502,S100068024290178002,6802429,2,500 HOUR SERVICE,C&F,3.00,I
JD,470P,506,S100068026330178002,6802633,2,500 HOUR SERVICE,C&F,4.25,I
JD,470P,507,S100033719270148001,3371927,1,500 HOUR SERVICE,C&F,3.00,I
JD,470P,522,S101595005950159002,159500595,2,500 HOUR SERVICE,C&F,6.25,I
JD,470P,529,S100033719810148001,3371981,1,500 HOUR SERVICE,C&F,3.25,I
JD,470P,534,S100033609920148001,3360992,1,500 HOUR SERVICE,C&F,3.50,I
JD,470P,542,S100017961510107001,1796151,1,500 HOUR SERVICE,C&F,5.75,I
JD,470P,615,S100033773480148001,3377348,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,616,S100033821300148001,3382130,1,500 HOUR SERVICE,C&F,2.75,I
JD,470P,681,S100033773850148001,3377385,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,754,S100017962650107001,1796265,1,500 HOUR SERVICE,C&F,2.50,I
JD,470P,1373,S101535002720153003,153500272,3,500 HOUR SERVICE,C&F,7.00,I
JD,470P,1428,S101615006040161002,161500604,2,500 HOUR SERVICE,C&F,3.75,I
JD,470P,1438,S100047116550157002,4711655,2,500 HOUR SERVICE,C&F,3.00,I
JD,470P,1450,S100051170280161002,5117028,2,500 HOUR SERVICE,C&F,4.25,I
JD,470P,1452,S101595005250159002,159500525,2,500 HOUR SERVICE,C&F,4.50,I
JD,470P,1457,S101785000910178002,178500091,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1460,S100018539660108003,1853966,3,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1470,S100033821980148001,3382198,1,500 HOUR SERVICE,C&F,2.25,I
JD,470P,1472,S101225000770122001,122500077,1,500 HOUR SERVICE,C&F,3.50,I
JD,470P,1478,S100043311950153001,4331195,1,500 HOUR SERVICE,C&F,4.50,I
JD,470P,1478,S101625007810162002,162500781,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1491,S100033821580148001,3382158,1,500 HOUR SERVICE,C&F,4.50,I
JD,470P,1498,S100033775500148001,3377550,1,500 HOUR SERVICE,C&F,5.00,I
JD,470P,1501,S101075020280107002,107502028,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1511,S100068026100178002,6802610,2,500 HOUR SERVICE,C&F,3.00,I
JD,470P,1522,S100033951740148001,3395174,1,500 HOUR SERVICE,C&F,4.25,I
JD,470P,1532,S100033904330148001,3390433,1,500 HOUR SERVICE,C&F,3.75,I
JD,470P,1536,S100019506620109001,1950662,1,500 HOUR SERVICE,C&F,4.75,I
JD,470P,1550,S101535008570153001,153500857,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1561,S100047122890157002,4712289,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1562,S100033609910148001,3360991,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1572,S101785001070178002,178500107,2,500 HOUR SERVICE,C&F,4.00,I
